Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y
20-479,1,20,Absent,11,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,1,10,0,0,7,0,0,0,0,0,0,0,0,5,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,8,0,6,0,0,0,25,7,Unicorn_Absent,-1,-1
20-479,1,479,Absent,30,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,14,26,3,0,0,0,7,0,9,0,0,8,30,0,0,0,0,19,0,0,22,16,0,0,0,1,21,17,0,18,0,0,0,0,12,0,0,0,0,11,13,27,10,20,0,23,0,0,6,2,24,0,25,0,0,0,5,4,0,28,15,29,25,7,Unicorn_Absent,-1,-1
20-479,2,20,Absent,11,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,7,0,0,0,0,0,0,0,0,4,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,8,0,9,0,0,0,25,7,Unicorn_Absent,-1,-1
20-479,2,479,Absent,30,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,27,14,11,0,0,0,3,0,19,0,0,29,17,0,0,0,0,15,0,0,2,1,0,0,0,21,20,9,0,10,0,0,0,0,6,0,0,0,0,4,30,12,13,16,0,28,0,0,5,7,22,0,24,0,0,0,18,26,0,25,8,23,25,7,Unicorn_Absent,-1,-1
20-479,3,20,Absent,11,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,8,7,0,0,1,0,0,0,0,0,0,0,0,3,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,6,0,4,0,0,0,25,7,Unicorn_Absent,-1,-1
20-479,3,479,Absent,30,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,8,17,21,0,0,0,11,0,30,0,0,28,15,0,0,0,0,25,0,0,26,5,0,0,0,7,3,4,0,18,0,0,0,0,14,0,0,0,0,27,22,2,23,1,0,24,0,0,16,9,13,0,6,0,0,0,29,10,0,19,20,12,25,7,Unicorn_Absent,-1,-1
20-479,4,20,Absent,11,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,2,4,0,0,10,0,0,0,0,0,0,0,0,11,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,8,0,9,0,0,0,25,7,Unicorn_Absent,-1,-1
20-479,4,479,Absent,30,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,22,14,21,0,0,0,2,0,4,0,0,13,30,0,0,0,0,29,0,0,17,3,0,0,0,10,23,11,0,15,0,0,0,0,12,0,0,0,0,7,18,8,16,9,0,19,0,0,28,25,1,0,27,0,0,0,5,20,0,24,6,26,25,7,Unicorn_Absent,-1,-1
20-479,5,20,Absent,11,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,9,8,0,0,3,0,0,0,0,0,0,0,0,2,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,5,0,6,0,0,0,25,7,Unicorn_Absent,-1,-1
20-479,5,479,Absent,30,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,21,29,0,0,0,7,0,14,0,0,2,27,0,0,0,0,30,0,0,10,18,0,0,0,16,13,20,0,11,0,0,0,0,9,0,0,0,0,6,12,22,4,19,0,17,0,0,8,26,23,0,24,0,0,0,25,28,0,3,5,15,25,7,Unicorn_Absent,-1,-1
