index,Exp,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,DLIndex_Mean,Fairness
6,0.65,124-347,4,124,Absent,40,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,28,21,33,37,34,11,0,0,15,14,25,40,0,12,13,3,0,31,20,0,0,32,7,26,0,0,0,17,2,0,23,0,0,24,38,4,0,0,22,0,5,39,0,18,0,29,8,0,16,0,27,6,30,36,0,35,1,19,10,0,9,0,5,27,Unicorn_Absent,-1,-1,92,0.83125,40,1.0,54,0.0,0.421875,0.758680555556,0.984375
7,0.65,124-347,4,347,Absent,41,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,9,14,30,29,0,3,0,6,0,1,5,25,41,38,0,0,0,22,16,0,35,0,0,15,0,37,24,0,2,18,11,40,12,0,0,0,7,34,0,26,0,0,36,32,19,31,28,8,10,27,0,39,23,0,20,0,33,13,17,0,0,0,21,4,5,27,Unicorn_Absent,-1,-1,92,0.83125,41,1.0,54,0.0,0.421875,0.758680555556,0.984375
10,0.65,124-347,6,124,Absent,16,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,16,5,0,0,0,0,0,0,11,6,0,0,0,0,0,0,8,15,0,0,0,0,0,0,10,14,0,0,0,0,0,0,3,13,0,0,0,0,0,0,1,7,0,0,0,0,0,0,9,12,0,0,0,0,0,0,4,16,16,Unicorn_Absent,-1,-1,28,0.9,16,0.217391304348,16,0.00462534690102,0.0,0.758680555556,1.0
11,0.65,124-347,6,347,Absent,16,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,7,15,0,0,0,0,0,0,1,12,0,0,0,0,0,0,14,9,0,0,0,0,0,0,11,10,0,0,0,0,0,0,8,4,0,0,0,0,0,0,13,3,0,0,0,0,0,0,16,5,0,0,0,0,0,0,2,16,16,Unicorn_Absent,-1,-1,28,0.9,16,0.212765957447,16,0.00462534690102,0.0,0.758680555556,1.0
14,0.65,124-347,8,124,Absent,42,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,25,0,29,2,41,0,0,20,40,18,0,0,21,6,28,15,0,0,0,35,0,10,23,0,39,8,0,24,0,9,13,17,0,26,12,31,0,0,11,0,7,37,19,0,27,3,33,42,0,34,14,4,22,0,0,16,0,32,5,30,0,36,1,38,0,32,Unicorn_Absent,-1,-1,49,0.8,42,0.208333333333,58,0.208333333333,0.40625,0.758680555556,0.90625
15,0.65,124-347,8,347,Absent,48,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,40,39,6,43,46,28,0,0,41,10,12,30,33,9,0,0,45,36,42,38,1,48,0,0,8,37,5,29,4,25,0,0,24,26,32,17,34,47,0,0,27,3,15,7,22,16,0,0,23,20,11,35,31,19,0,0,13,2,18,21,14,44,0,0,32,Unicorn_Absent,-1,-1,49,0.8,48,0.0,58,0.208333333333,0.40625,0.758680555556,0.90625
18,0.65,124-347,10,124,Absent,16,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,14,10,0,0,0,0,0,0,15,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,5,8,0,0,0,0,0,0,11,7,0,0,0,0,0,0,9,12,0,0,0,0,0,0,16,6,0,0,0,0,0,0,13,32,0,Unicorn_Absent,-1,-1,113,1.0,16,0.208333333333,64,0.791666666667,1.0,0.758680555556,0.5
19,0.65,124-347,10,347,Absent,48,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,6,32,35,11,28,21,0,0,20,16,23,47,24,10,0,0,12,14,2,29,30,9,0,0,5,44,22,45,46,41,0,0,36,8,4,43,3,15,0,0,1,48,25,40,18,33,0,0,26,34,17,42,13,7,0,0,38,27,31,39,37,19,0,32,0,Unicorn_Absent,-1,-1,113,1.0,48,1.0,64,0.791666666667,1.0,0.758680555556,0.5
20,0.65,124-347,11,124,Absent,16,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,16,0,0,0,0,0,0,15,7,0,0,0,0,0,0,1,4,0,0,0,0,0,0,13,11,0,0,0,0,0,0,12,5,0,0,0,0,0,0,14,8,0,0,0,0,0,0,2,3,0,0,0,0,0,0,6,10,0,0,0,0,0,0,9,32,0,Unicorn_Absent,-1,-1,145,1.0,16,1.0,64,0.0,1.0,0.758680555556,0.5
21,0.65,124-347,11,347,Absent,48,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,11,15,8,38,45,5,0,0,10,25,13,41,42,17,0,0,48,3,9,46,35,16,0,0,30,23,32,21,12,37,0,0,4,20,33,43,18,40,0,0,27,1,47,29,22,39,0,0,2,6,19,36,31,24,0,0,26,7,34,44,14,28,0,32,0,Unicorn_Absent,-1,-1,145,1.0,48,1.0,64,0.0,1.0,0.758680555556,0.5
